F001-MACAÉ
F002-CABO FRIO
F003-CAMPOS
F004-GRAJAU
F005-BOTAFOGO
F006-TIJUCA
F007-VILA ISABEL
F008-FLAMENGO
F009-DIAS DA ROCHA
F010-ICARAÍ
F011-SIQUEIRA CAMPOS
F012-LEBLON
F013-MARQUES PARANÁ
F014-PRADO JÚNIOR
F015-BARRA
F016-REGIÃO OCEÂNICA
F017-LARANJEIRAS
F018-PRAIA DO SUÁ
F019-RECREIO DOS BANDEIRANTES
F020-AVENIDA DAS AMÉRICAS
F021-URUGUAI
F022-ILHA DO GOVERNADOR
F023-ADALBERTO FERREIRA
F024-MARQUES DE ABRANTES
F025-RIO DAS OSTRAS
F026-VILA VELHA
F027-SANTA ROSA
F028-VOLUNTÁRIOS DA PÁTRIA
F029-GARDEN
F030-BARRA BLUE
F031-ABELARDO BUENO
F032-GÁVEA
F033-INGÁ
F034-ATAULFO DE PAIVA
F035-VISCONDE DE PIRAJÁ
F036-RECREIO A5
F037-SÃO CONRADO
F038-NOSSA SENH. DE COPACABANA
F039-JUIZ DE FORA
F040-SÃO FRANCISCO XAVIER
F041-MARIZ E BARROS
F042-CONDE DE BONFIM
F043-NOSSA SENH. DA PAZ
F044-MOREIRA CESAR
F045-ITAIPU
F046-CARLOS GOIS
F047-MARACANÃ
F048-CONDE 648
F049-HUMAITA
F050-JARDIM BOTÂNICO
F051-ATERRADO
F052-FREGUESIA
F053-CONDE 99
F054-CATETE
F055-MARIZ 1083
F056-VOLUNTÁRIOS 157
F057-NOVA IGUAÇU
F058-PASSAGEM
F059-MARIZ 312
F060-CAMPO GRANDE
F063-BUZIOS
F064-LARANJEIRAS 49
