material,description
107837,ETQ EP FRANGO DESOSSADO RESFRIADO
107838,ETQ EP FRANGO DEFUMADO
107839,ETQ EP BIFE BORBOLETA (MIOLO DE PALETA)
107840,ETQ EP BACON DEFUMADO PEDAÇO
107841,ETQ EP CHARQUE GRANEL
107842,ETQ EP LINGUICA PORTUGUESA DEFUMADA
107843,ETQ EP LINGUICA CALABRESA DEFUMADA
107844,ETQ EP LINGUICA PAIO DEFUMADA
107845,ETQ EP LINGUICA MISTA DEFUMADA
107846,ETQ TD PE SUINO SALGADO
107847,ETQ EP COSTELA SUINA SALGADA
107848,ETQ EP LOMBO SUINO SALGADO
107849,ETQ TD ORELHA SUINA SALGADA
107850,ETQ EP LOMBO SUINO DEFUMADO
107851,ETQ EP COSTELA SUINA DEFUMADA
107852,ETQ EP SALSICHAO TIPO ALEMA BRANCA
107853,ETQ EP SALSICHAO COM ALHO
107854,ETQ TD SALSICHAO A GRANEL
107855,ETQ TD SALSICHA A GRANEL
107913,ETQ EP CAR MOIDA FILE MIGNON EXTRA LIMPO
107928,FORRO DESC P CARRO DE BEBE
107977,ALMONDEGA BOVINA SADIA 500G
107995,KIBE SADIA 500G
108043,BARRA DE MIXED NUTS ORIGINAL AGTAL 60g
108044,BARRA DE MIXED NUTS NOZ E CAN AGTAL 60g
108045,BARRA DE MIXED NUTS SEMENTES AGTAL 60g
108060,ETIQUETA TAG DE VINHO - ESPANHA
108061,ETIQUETA TAG DE VINHO - EUA
108062,ETIQUETA TAG DE VINHO - FRANCA
108064,ETIQUETA TAG DE VINHO - PORTUGAL
108065,ETIQUETA TAG DE VINHO - URUGUAI
108067,CHOC FRA EXCELL 85% COCOA LINDT 100G
108116,BOMBONA 20 LITROS AZUL
108135,TORR SLIM TOAST LIGHT FHOM 110GR
108162,ETQ TD ACEM BOVINO MOIDO
108216,SUCO DE UVA TINTO GRAN LEGADO 1500ML
108217,OLEO DE CANOLA PURILEV 900ML
108218,OLEO LIZA EQUILIBRIO 900ML
108236,LARANJA BAHIA IMPORTADA KG
108264,CARTELA DE ALHO FRUTIFIQUE 500G
108271,UVA CRINSON EXTRA KG
108326,POLENGUINHO LIGHT 34GR
108327,QJO SANDWICH IN LIGHT POLENGHI 144G
108328,QJO SANDWICH IN CHED LIGHT POLEN 144G
108329,ETQ EP CONTRA FILE EXTRA LIMPO
108330,ETQ TD CONTRA FILE PEDACO
108331,ETQ EP BIFE DE CHORIZO
108332,ETQ EP LINGUA BOVINA SEM PELE
108333,ETQ EP PICANHA ESPECIAL LUTT
108334,ETQ TD BIFE DE CONTRA FILE
108335,ETQ EP FAUX FILE (MIOLO DE CONTRA FILE)
108336,ETQ EP FRANGO A PASSARINHO RESFRIADO
108337,ETQ TD NUGGETS GRANEL
108338,ETQ EP LINGUA  BOVINA DEFUMADA
108339,ETQ TD COSTELA SUINA FATIADA
108340,ETQ TD LOMBO SUINO FATIADO
108341,ETQ TD BISTECA SUINA FATIADA
108342,ETQ TD RABO SUINO SALGADO
108343,ETQ EP KIT FEIJOADA
108344,ETQ EP FILE DE PEITO DE FRANGO MOIDO
108345,ETQ EP BIFE FRALDINHA
108346,ETQ EP BIFE FILE MIGNON EXTRA LIMPO
108347,ETQ EP ROSBIFE FILE MIGNON EXTRA LIMPO
108348,ETQ EP MEDALHAO FILE MIGNON EXTRA LIMPO
108349,ETQ EP STROGONOF FILE MIGNON EXTRA LIMPO
108350,ETQ TD BIFE DE ALCATRA
108351,ETQ EP MEDALHAO DE ALCATRA
108352,ETQ EP STROGONOFF DE ALCATRA
108353,ETQ EP RUMP STEAK (MIOLO ALCATRA)
108354,ETQ EP BABY BEEF (MIOLO ALCATRA)
108355,ETQ TD BIFE CHA DENTRO
108356,ETQ EP BIFE PARIS MIOLO DE CHA DE DENTRO
108357,ETQ EP PIC A BRAS MIOLO DE CHA DE DENTRO
108358,ETQ EP CHA DENTRO EXTRA LIMPO
108359,ETQ EP CARNE MOIDA LIGHT MIOLO CHA DENTR
108360,ETQ TD BIFE DE PATINHO
108361,ETQ EP ROLE FRANGO RECH C PRES E QUEIJO
108362,ETQ EP ROLE FRANGO REC C PRES QJO AMEIXA
108363,ETQ EP ROLE FRANGO RECH C PRES QJO DAMAS
108364,ETQ EP ROLE FRANGO RECH C PRES QJO TO SE
108377,ETQ EP BIFE A MILANESA MIOLO DE PATINHO
108378,ETQ EP PATINHO EXTRA LIMPO
108379,ETQ TD PATINHO MOIDO
108380,ETQ EP LAGARTO REDONDO EXTRA LIMPO
108381,ETQ EP BIFE PALHA MIOLO LAGARTO REDONDO
108382,ETQ EP BIFE DE LAGARTO PLANO
108383,ETQ EP  LAGARTO PLANO EXTRA LIMPO
108384,ETQ EP BIFE ROLÊ (MIOLO LAGARTO PLANO)
108385,ETQ EP BIFE DE PICANHA
108386,ETQ EP BIFE DE MAMINHA
108387,ETQ EP FRALDINHA ESPECIAL
108390,CLIP PARA STOOPER
108425,ETQ TD MUSCULO DE 1ª BOVINO
108426,ETQ TD ACEM PEDACO
108427,ETQ TD PALETA BOVINA
108428,ETQ TD COSTELA BOVINA C OSSO
108429,ETQ EP COSTELA BOVINA S OSSO
108430,ETQ TD PEITO BOVINO
108431,ETQ TD BUCHO BOVINO
108432,ETQ TD MOCOTO BOVINO
108433,ETQ TD LINGUA BOVINA
108434,ETQ TD RABADA BOVINA
108435,ETQ TD BIFE DE FIGADO BOVINO
108436,ETQ EP FILE DE PEITO FRANGO RESFR LIGHT
108437,FILE SARD C MOL TOM GOMES DA COSTA 125G
108438,FILE ATUM C AZ OLIV GOMES DA COSTA 125G
108439,FILE SARD OLEO C LIM GOMES DA COSTA 125G
108457,QJO GOUDA TIROLEZ KG
108458,QJO COALHO TIROLEZ KG
108464,NONI KG
108484,ETQ TD GALETO TEMPERADO RESFRIADO
108485,MELAO CEPI KG
108494,AVENTAL TACTEL VERDE HF
108496,BATA GOLA POLO VINHO  HF  G
108504,SOBRECOXA FRANGO ORG CONG KORIN 600G
108510,FILE DE PEITO DE FRANGO ORG KORIN 600G
108531,COND ALECRIM BON APETIT 12G
108584,CASTANHA DE CAJU LATA DUNORTE 100G
108588,FRAMBOESA EMBALADA 80G
108589,BLUEBERRY EMBALADA 125G
108590,AMORA EMBALADA 80G
108597,AMIDO DE MILHO
108613,PATO EM PEDACO 1 200KG
108614,SACO PAP KRAFT C VISOR 3KG
108641,FEIJAO BRANCO CATADO ALEMAO 1KG
108720,COGUMELO DON FIDENCIO INTEIRO 100G
108721,COGUMELO DON FIDENCIO FATIADO 100G
108722,CAFE GOURMET BENTO GRAO 500G
108757,MORANGO 250G EXTRA
108826,SUCO REFRESCANTE PCS 300ML
108827,SUCO REFRESCANTE 500ML
108828,CENOURA VAGEM PCS KG
108829,SUCO REFRESCANTE 1000ML
108838,QJO RALADO FRESCO GRAN FORMAGGIO 100G
108847,TOMATE IT S PELE CUBOS PAGANINI 400G
108880,PERA ERCOLINI 1KG
108881,BANDEJA NEGRA PARA FRANGO - PP
108984,BRUSCHETTA ASPARGO VERDE LA PASTINA 280G
109062,AZEITE EXTRA VIRGEM GALLO 500ML
109063,AZEITE EXTRA VIRGEM RESERVA GALLO 500ML
109065,SACO PAP KRAFT C VISOR 5KG
109082,MEIOES TERMICOS
109083,JAPONA TERMICA NYLON BRANCA GG
109084,JAPONA TERMICA NYLON BRANCA G
109116,COND ACAFRAO BON APETIT 12G
109127,KANI CONGELADO DAMM 250G
109168,ATUM CLARO AZE OLIVA GOMES DA COSTA 170G
109187,TAMARA SEM CAROCO 200G
109188,QUEIJO GRAN FO 18MES KG
109194,TOMATE GRAPE FIORELLO 300GR
109201,CONTRA FILE ANGUS PEDACO KG
109203,PICANHA BASSI KG
109206,PERNIL DE CORDEIRO ORNAMENTADO KG
109218,ALCAPARRAS DON FIDENCIO 100G
109240,EXTINTOR CO2 6 KG
109265,PLACA OFERTA A4
109287,CHA MATTE LEAO 250G
109325,QUEIJO MINI BABY BEL 110G
109352,BRUSCHETTA ALCACHO PIMEN LA PASTINA 280G
109353,MOLHO PASSATA LA PASTINA 680G
109354,FUNGHI PORCINI SECCHI LA PASTINA 10G
109383,ESPUM ROSE PONTO NERO BRUT 750ML
109391,DOCE LEITE PURO DIET SAO LOURENCO 210G
109392,LEITE CONDENSADO DIET SAO LOURENCO 335G
109435,BANANADA C CANELA TACHAO 200G
109439,PANETT FRUT ZERO ACUCAR CASA SUICA 400G
109492,AGUA COCO 100% NATURAL COPO
109493,AGUA COCO 100 NATURAL 500ML
109494,AGUA COCO 100% NATURAL 1000ML
109495,CANA KG
109664,BROTO GRAO DE BICO 150G
109665,BROTO LENTILHA 150G
109676,LOMBO BACAL DESSALG MORHUA BOM PORTO 1KG
109856,LIMAO SICILIANO EXTRA KG
109908,SUCO UVA BR S ACUCAR SUVALAN 1000ML
109924,GORDURA VEGETAL PARA PRODUCAO KG.
109928,CAPA PLASTICA A-4 210X297 OPACA PRETA
109929,ESPIRAL PLASTICO 17mmX33cm PRETO
109948,COXAO MOLE PECA KG
109952,COXAO DURO PECA KG
110002,BACON TABLETE PRIETO KG
110003,COSTELA SUINA DEFUMADA PRIETO KG
110032,OVO CODORNA GRANJA LOUREIRO PACOTE 1KG
110033,OVO DE CODORNA GRANJA LOUREIRO 200G
110043,PASCOATT FRUTAS CASA SUICA 500g
110044,PASCOATT GOTAS CHOC CASA SUICA 500g
110047,COXINHA ASA FGO CONG DRUMET KORIN 600G
110052,ETIQ LE PAIN QUOTIDIEN
110178,PRES CRU FATIADO VILLANI 100 GR
110187,TAPIOCA TOQUE DO NORDESTE 500GR
110189,GRANOLA ZERO WS 500R
110190,SEMENTE DE CHIA WS 200G
110290,POLPA DE MAMAO P SUCO KG
110292,POLPA DE ABACAXI P SUCO KG
110295,POLPA DE CENOURA P SUCO KG
110296,POLPA DE BETERRABA P SUCO KG
110298,POLPA DE MELAO P SUCO KG
110300,POLPA DE CAJU P SUCO KG
110301,POLPA DE CAQUI P SUCO KG
110305,POLPA DE PERA P SUCO KG
110345,QJO GORGONZOLA  FRACIONADO TIROLEZ KG
110347,REQUEIJAO PO TRA TIROLEZ 250G
110434,LEITE UHT INTEGRAL LEITISSIMO 1LT
110435,ESPINAFRE HIDROPONICO UN
110483,QJO COALHO OREG ESPETO SERTANORTE KG
110495,VIN TTO FRA BORDEAUX 750ML
110496,CASTANHA PARA S CASCA EXTR LARGE PREM KG
110497,ETQ TD COSTELA BOV TEMPERADA E RECHEADA
110498,ETQ TD COSTELA BOVINA TEMPERADA
110499,ETQ TD COSTELA SUINA TEMPARADA
110500,ETQ TD COXA FRANGO LIGHT RESF E TEMP
110501,ETQ TD COXINHA DA ASA TEMPERADA
110502,EQT TD FILE PEITO FRANGO TEMPERADO RESF
110503,ETQ TD FILE DE PEITO DE PERU TEMPERADO
110513,MEDALHAO DE SALMAO DAMM 400G
110515,PALMITO DE PUPUNHA INT CULTIVERDE 150G
110516,PALMITO DE PUPUNHA INT CULTIVERDE 270G
110517,PALMITO PUPUNHA PICADO CULTIVERDE 300G
110523,QJO PRATO ESFERICO TIROLEZ KG
110535,TANGERINA KG
110545,IOG ACTIVIA POLPA AMEIXA DANONE 170G
110602,MOST AMARELA HEMMER 1KG
110636,ETQ EP PEITO FRANGO DESF PRE-COZI DEFUMA
110637,ETQ TD BISTECA DE FRANGO CONGELADA
110639,EMBALAGEM FRANGO BALCAO QUENTE (P)
110653,ETIQUETA PARA PRESENTE
110742,MILHO GIGANTE ORIGINAL KG
110824,PERNIL AO VINHO DESOSSADO SADIA KG
110825,LOMBO TEMPERADO SADIA KG
110832,MOSTARDA FRA MAILLE COM MEL 230GR
110834,CHESTER ASSA FACIL PERDIGAO KG
110835,CHESTER AZEITE E ERVAS PERDIGAO KG
110915,FILE CACAO CONG FRESCATTO 500G
110923,MALETA RETANGULAR 1600 ML 146 PT
110924,BOLINHOS BACALHAU CONG BOM PORTO 360G
110941,BISC S GLUTEN SABOR MARA ARUBA 100G
110942,BISC S GLUTEN SABOR CHOC ARUBA 100G
110945,ATUM SOL OLEO BAI TE GOMES DA COSTA 170G
110958,BERINJELA ITALIANA KG
111004,GRANOLA TRADICIONAL MAE TERRA 250G
111005,GRANOLA FRUTA SEM ACUCAR MAE TERRA 250G
111040,MORANGO ORG 250G UN
111113,PESSEGO ORG 500G UN
111116,NECTARINA ORG 500G UN
111135,PEN DRIVE 8GB SANDISK
111170,PEITO  DE FRANGO  DEFUMADO CERATTI KG
111213,RAVIOLI COM RICOTA ESPINAFRE RANA 250G
111245,COLHER PLASTICA BEL COMUM
111258,LEITE INTEGRAL XANDO 1L
111259,LEITE SEMIDESNATADO MAGRO XANDO 1L
111263,MAIONESE PRIMAVERA PCS KG
111288,MAMAO FORMOSA SONG RIVER KG
111289,CRANBERRIES DESIDRATADOS E ADOCADOS KG
111297,BET VERM BAB SAL GOGR 80G
111302,QJO TP PROVOLON CURADO DEF TIROLEZ KG
111323,GRANOLA BANANA MAE TERRA 250G
111330,LEITE COND MOCA TRAD CAIXA NESTLE 395G
111343,FARINHA DE TRIGO TIPO 1 DONA BENTA 1KG
111344,FARINHA D TRI RESE ESPECO DONA BENTA 1KG
111345,SUCO DE LARANJA INTEGRAL DO BEM 1000ML
111346,SUCO DE TANGERINA INTEGRAL DO BEM 1000ML
111348,MISSO SHIRO SAKURA 500G
111358,PERA FORELLE KG
111400,ETQ TD FILEZINHO DE FRANGO EMPANADO
111401,EQT TD FRALDINHA TEMPERADA E RECHEADA
111402,ETQ TD FRALDINHA TEMPERADA
111403,ETQ TD FRANGO DESOSSADO TEMPERADO RESFR
111404,ETQ TD FRANGO LIGHT TEMPERADO RESFRIADO
111405,ETQ TD GALETO RESFRIADO
111406,ETQ TD LAGARTO TEMPERADO RECHEADO
111407,ETQ TD LAGARTO TEMP REC C LING CALABRESA
111408,ETQ TD LAGARTO BOVINO TEMPERADO
111409,ETQ TD LINGÜICA DE FRANGO RESFRIADA
111410,ETQ TD LINGÜICA PERNIL SUINA RESFRIADA
111411,ETQ TD LINGÜICA ESPECIAL PARA CHURRASCO
111412,ETQ TD LOMBO SUINO TEMPERADO
111413,ETQ TD MAMINHA TEMPERADA E RECHEADA
111414,ETQ TD MAMINHA TEMPERADA
111415,ETQ TD MEDALHAO DE FRANGO TEMPERADO
111416,ETQ TD PEITO DE PERU FATIADO
111417,ETQ TD SOBRECOXA FRANGO RESFR LIGHT TEMP
111421,MANT SEM SAL PRESIDENT 200G
111422,MANT COM SAL PRESIDENT 200G
111423,PRES CRU FATIADO VITO BALDUCCI 100G
111534,LEITE COND MOCA TRAD LATA NESTLE 395G
111566,CASTANHA DE CAJU GRANULADA USIBRAS 100G
111614,TRIGO PARA KIBE MONTAN 500G
111615,BARRA CER CAST COCO C NIBS NUTS BAR 50G
111619,PANETT GOT CHOC ZERO ACU CASA SUICA 400G
111620,PANETT INT QUI CAS UVA P CASA SUICA 400G
111622,TAMARA IN NATURA 200G
111721,PERU ASSA FACIL KG
111722,CARNE SECA CURADA DESFIADA VAPZA 400G
111723,FRANGO COZIDO DESFIADO VAPZA 400G
111747,AMEIXA SEM CAROCO PRESIDENTE KG
111748,AMENDOA LAMINADA KG
111749,BLUEBERRY DESIDATRADO KG
111750,CEREJA MARRASCHINO COM CABO KG
111781,PAO D BATA PETITE FLEUR AMOR DE LUA 180G
111790,VIN BCO CHI SEL TER SAL BLA STA EM 375ML
111792,VIN TTO CHI SEL TER CAB SAU STA EM 375M
111793,VIN TTO CHI SEL TERR MERLOT STA EM 375M
111832,ESPUMANTE ROSE AURORA MOSCATEL 750ML
111833,VIN TTO PORTUGUES FICADA 750ML
111834,VIN BRANCO PORTUGUES FICADA 750ML
111836,VIN BRA PORTUG HERDADE DOS COTEIS 750ML
111884,FARINHA LACTEA TRAD LATA NESTLE 400G
111893,SACO POLI 60X75cm TRANSP INCOLOR 25 PC
111894,SACO POLI 60X90cm TRANSP INCOLOR 25 PC
111907,AZEITE EXTRA VIRGEM PAESANO 500ML
111929,COND TEMP BAIANO SABOR NORD AR ERVA 100G
111930,TEMP ASSAR FGO AROMA ERVAS 120G
111941,TOMATE MEDITERRANEO FSB MARROM 400GR
111945,TOMATE TOMATOLOKO FSB VERMELHO 150GR
111957,TORTELLINI PRESUNTO CRU QUEIJO RANA 250G
111958,RAVIOLI QUATRO QUEIJOS RANA 250G
111959,CAPPELLETI COM CARNE RANA 250G
111971,CREME DE RICOTA LIGHT POLENGHI 150G
111975,MIX DE FRUTAS SECAS NATALINO KG
111981,CREAM CHEESE LIGHT PHILADELPHIA 150G
111982,CREAM CHEESE ORIGINAL PHILADELPHIA 150G
111983,SARDINHA COM OLEO GOMES DA COSTA 125G
111984,SARDINHA MOLHO TOM GOMES DA COSTA 125G
111988,BOBINA TERMICA 54X500 ESTACIONAMENTO
111990,CAPELLETI CARNE MASSA LEVE 400g
111992,RAVIOLI FRANGO COM ALECRIM RANA 250G
111996,MASS LASANHA RANA 250G
112021,ETIQUETA DE VINHO BRASIL
112022,ETIQUETA DE VINHO CHILE
112036,PAIO SADIA PERDIGAO GRANEL KG
112048,FILTRO PARA CAFE N 103 BENTO GRAO UN
112049,FILTRO PARA CAFE N 102 BENTO GRAO UN
112096,BANDEJA BOTA DE CIPO N°2
112103,MINI BABY BEL LIGHT 100G
112183,BLUEBERRY EMBALADA 100G
112184,SEMENTE DE ABOBORA TORRADA SALGADA KG
112186,AMIDO DE MILHO MAIZENA 500G
112190,QUEIJO MINAS CANASTRA CRUZEIRO KG
112205,FUNGHI SECCHI CHILENO CIA DAS ERVAS 50G
112206,FUNGHI SECCHI SHIITAKE CIA DAS ERVAS 25G
112214,POLENTA DIVELLA 500G
112215,ARROZ POLIDO JAPONES NIKKOH 1KG
112216,ARROZ PARBOLIZADO INTEGRAL TIO JOAO 1KG
112223,ETIQUETA PEIXE TEMPERADO
112243,ETIQUETA SUCOS DETOX HORTIFRUTI
112277,EMPADA DE FRANGO JACOMO 85G
112278,EMPADA DE PALMITO JACOMO 85G
112295,TOMATE CEREJA PERINHA 250G
112296,VAGEM MACARRAO 300G
112299,ALFACE AMERICANA HIGIENIZADA 200G
112301,CEBOLINHA PICADA PRAMESA 70G
112367,COSTELA SUINA DEFUMADA FAISAO GRANEL kg
112383,ETIQUETA PADARIA
112418,TOSTATA ROSMARINO FLORIO 180G
112419,TOSTATA TOMATE SECO FLORIO 180G
112420,CROUTON NATURAL FLORIO 120G
112421,GRISSINI PARMESAO FLORIO 120G
112422,GRISSINI ALHO FLORIO 120G
112423,GRISSINI INTEGRAL PARMESAO FLORIO 120G
112425,BISC ALE CHOC LEI MILK BAHLSEN 125G
112426,BISC ALE WAFFELET MILK BAHLSEN 100G
112427,BISC ALE CHOCO FRIENDS BAHLSEN 100G
112431,CHOC FRA EXCELL SEA SALT LINDT 100G
112433,COSTELA SUINA SALGADA FAISAO A GRANEL kg
112436,BACON PEDACO GRANEL NOBRE kg
112438,BACON PEDACO GRANEL SADIA PERDIGAO kg
112464,PE SUINO SALGADO FAISAO KG
112484,LOMBO SUINO CONGELADO KG
112535,VIN BCO CUES DEL MADERO DULCE NAT 750ML
112600,ETIQUETA DE VINHO ESPANHA
112601,ETIQUETA DE VINHO ITALIA
112602,ETIQUETA DE VINHO PORTUGAL
112603,OLEO DE SOJA LIZA 900ML
112623,LINGUICA TOSCANA RESFRIADA SADIA KG
112624,LINGUICA TOSCANA RESFRIADA AURORA KG
112625,LINGUICA TOSCANA RESFRIADA SEARA KG
112628,LOMBO SUINO DEFUMADO CANADENSE FAISAO kg
112666,LOMBO SUINO SALGADO FAISAO KG
112670,ORELHA SUINA SALGADA FAISAO kg
112703,ROSEIRA P11
112704,ROSEIRA P13
112705,ROSEIRA DECORADA
112708,ETQ 10X7 MANTER RESF 0A10C B VERMELHA
112709,ETQ 10X7 MANTER CONGELADO A18 C BDA AZUL
112710,ETQ 10X7 DESC MANTER RESF 0A10 C B LARAN
112711,ETQ 10X7 PROD TEMP MANT RESF 0A10C B VDE
112712,ETQ 10X7 MANTER TEMP AMBIE B CINZA
112714,NOZES PECAN KG
112715,GOJIBERRY KG
112716,CUNO ELEM FILTRANTE BELLA FONTE MAXX 3M
112731,SUCULENTAS P06 UN
112757,TUIA STRIKITA P 14
112765,GD PP 22X22 LV PR C  5000
112786,PASCOATT FRUTAS ZERO CASA SUICA 400G
112789,CARRE SUINO CONGELADO kg
112792,COSTELA SUINA CONGELADA kg
112819,MANTEIGA LATA COM SAL GRAN MESTRI 200G
112821,MANTEIGA POTE COM SAL GRAN 200g
112822,MANTEIGA POTE SEM SAL GRAN 200g
112879,PALETA BOVINA PECA KG
112880,MUSCULO DE PRIMEIRA BOVINO PECA KG
112881,COSTELA BOVINA PECA KG
112882,PEITO BOVINO PECA KG
112883,RABADA BOVINA CONGELADA KG
112884,LINGUA BOVINA CONGELADA KG
112885,BUCHO BOVINO CONGELADO KG
112886,MOCOTO BOVINO CONGELADO KG
112887,FILE DE PEITO DE FRANGO CONGELADO KG
112888,PEITO COM OSSO DE FRANGO CONGELADO KG
112889,SOBRECOXA DE FRANGO CONGELADA KG
112890,COXINHA DA ASA FR CONG DRUM KG
112891,ASA DE FRANGO CONGELADA KG
112892,MOELA DE FRANGO CONGELADA KG
112893,FIGADO DE FRANGO CONGELADO KG
112894,CORACAO DE FRANGO CONGELADO KG
112896,COXA COM SOBRECOXA D FRANGO CONGELADA KG
112918,FARINHA DE PAO TORRADA KG
113005,PALMAS
113015,VIN TTO CHILENO MARIO RAVANAL 750ML
113016,VIN TTO CHILE RAVANAL LIMITED SELE 750ML
113156,LEITE EM PO NINHO INSTA LATA NESTLE 400G
113158,CLEAN & SMOUTH BLOSSON 1L
113159,JET DRY 5L
113160,TOPMAT L 5L
113198,BAGUETE AMARANTO JEITO CASEIRO KG
113200,CREME DE QUEIJO TIPO ARABE ALIBEY 1KG KG
113201,HO PA GR BI PR BA AL KG
113230,SACO MAGO CONFEITERO
113238,LINGUICA CALABRESA DEFUMADA SAD PERD KG
113239,LINGUICA CALABRESA DEF AURORA GRAN KG
113240,LINGUICA CALABRESA DEFUMADA SEAR GRAN KG
113243,LINGUICA DE CHURRASCO PERNIL SEARA KG
113246,LINGUICA DE FRANGO SEARA kg
113247,LINGU MISTA DEFUMADA SAD PERD A GRAN kg
113249,LINGUICA MISTA DEFUM SEARA A GRANEL KG
113382,QUEIJO MIN TRAD ULTRAFILTR DANUBIO 250G
113384,COOKIE ORG CACAU CAST PAR MAE TERRA 120G
113390,CAMARAO DESC P COZ CONG 51 60 BOMAR 400G
113391,CAMARAO DESC P COZ CONG 71 90 BOMAR 400G
113392,FILE DE TILAPIA CONGELADO BOMAR 500G
113393,GELEIA D FRUT VERM DIET QUEENSBERRY 280G
113394,GELEIA D DAMASCO DIET QUEENSBERRY 280G
113395,GELEIA D GOIABA DIET QUEENSBERRY 280G
113411,PEITO DE FRANGO DEFUMADO KG
113412,WAFFLE TRAD CONG FORNO DE MINAS 210G
113413,WAFFLE INT FORNO DE MINAS 210G
113457,TOMATE MINI MOMOTARO 180G
113616,SNACK DE ARROZ KALASSI ORIGINAL 100G
113617,SNACK D ARROZ S CREAM ONION KALASSI 100G
113618,SNACK DE ARROZ CHESSE KALASSI 100g
113651,AZEITE EXT VIR PREMIUM DELEYDA 500ML
113656,KIWI GOLD KG
113662,CREME DE AVELA CACAU ZERO FLORMEL 150G
113666,NECTAR DE PESSEGO LUMINUS LIFE 1000ML
113669,CAPPUCCINO CHOCOLAT POTE 3 CORACOES 200G
113670,CAPPUCCINO DIET POTE 3 CORACOES 150G
113671,CAPPUCCINO CLASSIC POTE 3 CORACOES 200G
113672,CAFÉ PREM ESTR REAL 3 CORACOES 250G
113702,LEITE UHT SEMI DES ZER LA PIRACANJUBA 1L
113704,PEITO FRANG DESF CNG COPACOL KG
113711,RABO SUINO SALGADO FAISAO KG
113735,SEMENTE GIRASSOL DESCASCADA SULYANI 200g
113737,MIX DE AMENDOAS WS 390G
113808,GELEIA QUATRO FRUTAS ST DALFOUR 284G
113809,GELEIA DE MORANGO ST DALFOUR 284G
113810,GELEIA DE LARANJA ST DALFOUR 284G
113812,GELEIA DE CASSIS ST DALFOUR 284G
113813,GELEIA DE AMORA ST.DALFOUR 284G
113814,GELEIA DE FRAMBOESA ST DALFOUR 284G
113815,MOLHO DE PIMENTA VERMELHA TABASCO 60ML
113816,GELEIA DE DAMASCO SANTA DALFOUR 284G
113827,TAMPA POTE TERM 1LT 48JL
113829,FITA ADESIVA ROTULADOR BROTHER 12mm
113981,MOLHO GREEN PEPPER SAUCE TABASCO 60ML
113982,MOLHO CHIPOT PEPPER SAUCE TABASCO 60ML
114057,MOLHO HABANE PEPPER SAUCE TABASCO 60ML
114329,VIN BCO CHI SEL TER SAL BLA STA EM 750ML
114330,VIN TTO CHI SEL TER CAB SAU STA EM 750M
114331,VIN TTO CHI GRAN RES MERLOT STA EM 750M
114344,GARFO DESCARTAVEL  REFEICAO
114345,COLHER DESCARTAVEL REFEICAO
114347,TAMPA PLASTICA 300 ML
114348,COPO 200 ML  REFORCADO
114349,COPO 100ML
114350,COPO PLASTICO 50ML
114351,CUNO CARCACA FILTRO CFS 934
114352,CUNO CARCACA AP 802 K (P CAIXA DAGUA)
114353,CUNO ELEM FILTRANTE AP811 2 P CX DAGUA
114359,GUARDANAPOS  23X23
114370,FRETE PARA FINS DE DESPESA
114372,MAT COMBUSTIVEL E LUBRIFICANTES
114376,PNEUS E CAMARAS DE AR
114377,MAT PECAS E ACESSORIOS AUTOM
114379,MAT PROPAGANDA PROMOCIONAL
114381,MAT CAMPANHAS PUBLICITARIAS
114382,MAT JORNAL INTERNO
114384,MAT FOLHETOS OFERTA
114385,MAT CARTAZES
114386,MAT CESTA BASICA-PAT
114388,MAT ALIMENTACAO PAT
114392,CALÇADOS
114393,MAT BRINDES
114394,MAT BENS DE NATUREZA PERMANENTE
114397,MATERIAL DE INFORMATICA TELEFONIA
114398,MAT FESTAS & EVENTOS
114399,ENTO FRUTIFEST FIM DE ANO
114412,KETCHUP TRADICIONAL FP HEINZ 397G
114414,KETCHUP PICANTE FP HEINZ 397G
114415,MOSTARDA TRADICIONAL FP HEINZ 255G
114430,ABRIDOR DE GARRAFAS UTILITA TRAMONTINA
114431,ABRIDOR GARRAFA LATA MISTO NICE
114432,ABRIDOR MISTO PROFISSIONAL NICE
114433,ACR BR 1600 0,3 mm 30 X 26 - CAIXA
114434,SUPORTE DE BOLSA
114435,ACR CR 03,0mm 10 X 17 - PORTA LUVAS
114436,SUPORTE DE FOLHITO
114437,APARDR FARIN EM L 35X12X6 2,4
114438,ARGOLA ACRILICO TAMANHO GRANDE
114439,ARGOLA ACRILICO TAMANHO PEQUENO
114440,ARM BNDJRO ACR200X80X,020
114441,ASSADEIRA ACO INOX 43 cm TRAMONTINA
114442,ASSADEIRA ACO INOX 48 cm TRAMONTINA
114443,ASSADEIRA INOX 48X31X6,5cm
114444,ASSAD OV G 38,5X26,5X5,9
114445,ASSADEIRA OVAL MEDIA 34 X 23 X 6 3,2 LT
114446,ASSADEIRA OVAL PEQUENA 30 X 21 X 6,2 cm
114447,ASSAD RE GD 39.4X23X5CM
114448,BACIA 35 X 13,6 cm
114449,BACIA 40 X 16,5 cm
114450,BACIA MICRO BR 17,5 cm - 1LT
114451,BALDE COM TAMPA E ALCA 05 LT
114452,BANDEJA 48 X 33 cm BRANCA
114453,BANDEJA 48 X 33 cm VERMELHA
114454,BANDEJA AÇO INOX 30 X 15 X 2 cm
114455,BANDEJA RETANGULAR 30,5 X 20,5 X 6 CM
114456,BANDEJA RETANGULAR 45 X 30 X 8 CM
114457,BANDEJA RETANGULAR 60,5 X 40 X 9,2 CM
114458,BANDEJA RET IN SER TRA
