material,description
100298,AMEIXA NACIONAL EXTRA KG
100299,MELAO ORANGE EXTRA KG
100300,NECTARINA IMPORTADA EXTRA KG
100302,BATATA INGLESA EXTRA KG
100307,TAIOBA UN
100308,TAMARILLO KG
100309,TAMARINDO EMBALADO KG
100312,TOMATAO KG
100313,TOMATE KG
100314,TOMATE CAQUI KG
100315,TOMATE CEREJA EMBALADO UN
100316,TOMATE DEBORA MOLHO KG
100320,UMBU EMBALADO KG
100325,MINI CEBOLA AMARELA 283G
100326,MINI CEBOLA BRANCA 283G
100327,PITAYA AMARELA KG
100328,PITAYA VERMELHA KG
100330,ENDIVIA KG
100335,NABO RAMA UN
100337,CAJU EMBALADO 300G
100342,UVA ITALIA KG
100344,UVA MOSCATEL kg
100346,UVA RED GLOBE KG
100348,UVA ROSADA KG
100350,UVA THOMPSON IMPORTADA KG
100351,UVA THOMPSON NACIONAL kg
100355,VAGEM KG
100356,VAGEM EMBALADA 300G
100358,MAMAO PAPAIA EMBALADO UN
100362,FEIJAO PRETO KG
100364,COUVE-DE-BRUXELAS 200g
100365,PITANGA KG
100366,PEPINO CONSERVA KG
100369,CACAU KG
100370,FIGO INDIA EMBALADO KG
100371,FIGO ROXO EMBALADO 250G
100372,MORANGO 250G
100374,NESPERA 450G
100379,CENOURA EXTRA KG
100388,MANGA TOMMY EXTRA KG
100389,MELAO CANTALOUPE KG
100390,TOMATE ITALIANO GRANEL KG
100402,NIGAGORI KG
100404,ALCACHOFRA CONSERVA KG
100405,UVA BRASIL EXTRA KG
100406,MANGA PALMER EXTRA KG
100407,BERINJELA JAPONESA KG
100408,MINI ABOBORA MORANGA KG
100411,ATEMOYA EXTRA KG
100416,LARANJA LIMA EXTRA KG
100418,MANA KG
100419,PONCA EXTRA KG
100423,UVA BENITAKA EXTRA KG
100434,ALHO NACIONAL EXTRA KG
100435,MACA GALA NACIONAL EXTRA II KG
100436,MELAO CANTALUPE EXTRA KG
100437,TOMATE HIDROPONICO KG
100438,BANANA PRATA ORG KG
100440,MANGA ESPADA VERMELHA KG
100441,TOMATE PERINHA EMBALADO UN
100445,TOMATE EXTRA kg
100446,FARINHA AMARELA ALEMAO 1KG
100447,COUVE-FLOR ROXA KG
100451,MINI CENOURAS MISTER RABBIT 100G
100530,MARACUJA DOCE EXTRA KG
100532,PINHA EXTRA KG
100534,AMEIXA OVO DE DINOSSAURO KG
100535,UVA ITALIA EXTRA II KG
100538,CIDRA KG
100539,GOIABA VERMELHA EXTRA KG
100540,BATATA DOCE ROXA KG
100541,REPOLHO EXTRA KG
100550,ALHO DESCASCADO RAYKA SELECIONADO 300G
100553,FEIJAO CARIOCA CATADO ALEMAO 1KG
100554,FEIJAO PRETO CATADO ALEMAO 1KG
100555,FEIJAO MANTEIGA CATADO ALEMAO 1KG
100556,FEIJAO VERMELHO CATADO ALEMAO 1KG
100557,FUBA CATADO ALEMAO 1 KG
100558,FARINHA BRANCA ALEMAO 1KG
100561,BERINJELA SELECIONADA KG
100562,ACELGA UN
100563,ALFACE HIDROPONICA CRESPA
100564,ALFACE HIDROPONICA LISA
100565,ALMEIRAO ROXO UN
100566,ANETO UN
100571,BROTO DE TREVO SPROUTS 150G
100572,BROTO DE ALFAFA SPROUTS 150G
100573,BROTO MISTO SPROUTS 150G
100579,COCO SECO SELECIONADO KG
100581,INHAME DEDO SELECIONADO KG
100584,ERVILHA TORTA SELECIONADA KG
100585,VAGEM SELECIONADA KG
100588,ABACATE SELECIONADO KG
100589,JACA SELECIONADA KG
100590,TOMATE ITALIANO SELECIONADO KG
100591,TOMATE DEBORA SELECIONADO KG
100592,BATATA BAROA MAND SELECIONADO KG
100593,BATATA CALABRESA SELECIONADA KG
100602,MANGA PALMER CX 6KG
100604,MELAO AMARELO EXTRA KG
100609,RABANETE KG
100611,CASTANHA PORTUGUESA GRANEL KG
100614,NOZES COM CASCA GRANEL KG
100615,TAMARA COM CAROCO EMBALADA 200G
100616,FIGO TURCO EMBALADO 250G
100625,SUCO MAMAO COM LARANJA PROCESSADO 1000ML
100626,AGUA COCO NATURAL 300ML
100627,AGUA COCO NATURAL 500ML
100628,AGUA COCO NATURAL 1000ML
100632,SUCO ACAI COMPOSTO PCS 300ML
100633,SUCO ACAI COMPOSTO PROCESSADO 500ML
100634,SUCO ACAI COMPOSTO PROCESSADO 1000ML
100635,SUCO ABACAXI COM HORTELA PCS 300ML
100636,SUCO ABAC HORT PCS 0,5L
100637,SUCO ABAC HORT PCS 1L
100650,SUCO LARANJA COM CENOURA PCS 300ML
100653,SUCO BRONZEACOR 300ML
100654,SUCO BRONZEACOR 500ML
100655,SUCO BRONZEACOR 1L
100690,TOMATE ESPANHOL RAMA KG
100694,UVA RED GLOBE EXTRA KG
100697,ABOBORA SECA KG
100702,COENTRO HIDROPONICO UN
100703,BATATA DOCE AMARELA KG
100722,PERA PACKAN S (PT) EXTRA KG
100729,LICHIA A GRANEL KG
100731,PESSEGO NACIONAL EXTRA KG
100732,COUVE TRONCHA KG
100733,MELAO CHARENTAIS KG
100736,UVA ROSADA EXTRA KG
100738,PESSEGO IMPORTADO EXTRA KG
100744,LIMAO TAHITY EXTRA KG
100746,CAQUI RAMA FORTE EXTRA II KG
100747,ESCAROLA UN
100749,KIWI EXTRA KG
100751,MEXERICA RIO EXTRA KG
100753,UVA CRIMSON KG
100760,LARANJA PERA SUCO EXTRA KG
100761,PERA WILLIANS EXTRA KG
100767,PERA D ANJOU EXTRA KG
100768,FIGO ROXO EMBALADO EXTRA UN
100770,MACA TURMA DA MONICA 1KG
100771,MACA GRANNY SMITH  EXTRA KG
100775,LICHIA EMBALADA EXTRA KG
100779,GRAVIOLA EXTRA KG
100780,AMEIXA IMPORTADA EXTRA KG
100781,BANANA PRATA EXTRA KG
100782,ABACATE EXTRA KG
100798,POLPA DE FRUTA MORANGO KG
100799,POLPA DE FRUTA PESSEGO KG
100803,ABIU ROXO EMBALADO UN
100805,PERA PORTUGUESA EXTRA II KG
100806,MAMAO FORMOSA EXTRA KG
100811,MACA GALA IMPORTADA EXTRA KG
100812,MAMAO PAPAIA EXTRA KG
100813,CASTANHA PORTUGUESA EXTRA KG
100815,DAMASCO EXTRA KG
100818,POLPA DE FRUTA AMEIXA KG
100819,CARNE ASSADA AO MOLHO DE TOMATE KG
100820,LOMBINHO ASSADO KG
100821,PEITO DE PERU ASSADO FESTA KG
100825,TENDER ASSADO FESTA KG
100830,ABOBORA JAPONESA CABOTIA PCS KG
100831,ABOBORA MADURA PROCESSADO KG
100832,ABOBRINHA  PROCESSADO KG
100833,AIPIM MANDIOCA PROCESSADO KG
100834,BATATA BAROA MANDIOQUINHA PROCESSADO KG
100835,BATATA INGLESA PROCESSADO KG
100836,BETERRABA PROCESSADO KG
100837,CEBOLA BRANCA PROCESSADA KG
100838,CENOURA COM BETERRABA PROCESSADO KG
100839,CENOURA COM CHUCHU PROCESSADO KG
100840,CENOURA PROCESSADO KG
100841,CHEIRO VERDE PROCESSADO KG
100842,CHUCHU PROCESSADO KG
100843,COCO SECO PROCESSADO KG
100845,COUVE FLOR PROCESSADO KG
100846,COUVE HIGIENIZADA PROCESSADO KG
100847,INHAME PROCESSADO KG
100848,MAMAO PROCESSADO KG
100851,BETERRABA EXTRA KG
100852,LONGAN KG
100865,MELAO AMARELO PROCESSADO KG
100866,PEPINO JAPONES PROCESSADO KG
100867,PIMENTAO COLORIDO PROCESSADO KG
100869,QUIABO PROCESSADO KG
100870,REPOLHO ROXO PROCESSADO
100871,SALADA DE FRUTAS PROCESSADO KG
100872,SALADA MAIONESE PROCESSADO KG
100875,SELETA DE LEGUMES PROCESSADO KG
100876,VAGEM PICADA PROCESSADO KG
100877,VINAGRETE PROCESSADO KG
100878,REPOLHO BRANCO FATIADO PROCESSADO KG
100879,REPOLHO MISTO PROCESSADO KG
100881,JILO PROCESSADO KG
100882,BATATA INGLESA P MAIONESE PROCESSADO KG
100883,BATATA INGLESA CUBO PROCESSADO KG
100884,SELETA SOPA PROCESSADO KG
100885,YAKISSOBA PROCESSADO KG
100887,SALADA VERAO PROCESSADO KG
100890,ANTEPASTO DE BERINJELA PCS KG
100892,CENOURA PALITO PROCESSADO KG
100893,BETERRABA PALHA PROCESSADO KG
100894,CENOURA C BETERRABA PALHA PROCESSADO KG
100895,CENOURA PALHA PROCESSADO KG
100898,BERINJELA RODELA PCS KG
100899,ALHO PORO PROCESSADO KG
100900,BROCOLIS BOUQUET PROCESSADO KG
100901,BROCOLIS COUVE FLOR PROCESSADO KG
100902,CEBOLINHA VERDE PROCESSADO KG
100903,COCO SECO RALADO PROCESSADO KG
100906,SALADA TROPICAL PROCESSADO KG
100907,SOPAO PROCESSADO KG
100910,MELANCIA NATALINA PROCESSADO KG
100912,SOPINHA PROCESSADO KG
100913,MELANCIA PROCESSADO KG
100914,MANGA PROCESSADO
100918,ABACAXI PEDACO PROCESSADO KG
100919,SALADA TRICOLOR PROCESSADO KG
100921,SALSINHA PROCESSADO KG
100925,SELETA OLD PROCESSADO KG
100926,COENTRO PROCESSADO KG
100927,POLPA MARACUJA COM SEMENTE PROCESSADO KG
100928,LEGUMES PARIS PROCESSADO KG
100934,MELAO ORANGE PROCESSADO KG
100936,GOIABA VERMELHA PROCESSADO KG
100939,PONCA PCS KG
100942,MANGA PALMER PCS KG
100943,MANGA TOMMY PCS KG
100944,KIWI PCS KG
100945,MORANGO PCS KG
100952,CENOURA COM BATATA PCS KG
101012,BANANA NANICA ORG KG
101025,CEREJA EMBALADA KG
101026,SERRALHA UN
101027,CHEIRO VERDE UN
101028,CHICORIA
101030,CHUCHU KG
101032,SERIGUELA EMBALADA KG
101033,COCO SECO KG
101114,ABOBORA MORANGA ORGANICA KG
101153,OVOS VERMELHO EMBALADO DZ
101155,PALMITO PUPUNHA
101156,PALMITO PUPUNHA EMBALADO SUMMER  500G
101157,PEPINO KG
101167,TOMATE HIDROPONICO ITALIANO BANDEJA KG
101168,TOMATE SABOROSO MINI 300G
101171,SALADA MISTA 200GR
101177,ALFACE ROMANA HIDROPONICA UN
101226,OVOS GRANDE KORIN DEZENA UN
101231,KIWI ORG 500G UN
101300,ALFACE CRESPA VERMELHA BOUGAIN UN
101313,CUPUACU KG
101319,JENIPAPO KG
101329,BETERRABA SELECIONADA KG
101330,CENOURA SELECIONADA KG
101331,CHUCHU SELECIONADA KG
101333,JILO SELECIONADA KG
101334,PIMENTAO VERDE SELECIONADO KG
101335,QUIABO SELECIONADO KG
101336,RABANETE SELECIONADO KG
101337,TOMATE SELECIONADO KG
101339,PIMENTAO COLORIDO SELECIONADO KG
101347,PEITO PERU DEFUM C CAPA SADIA KG
101351,MOSTARDA DIJON ORIGINAL MAILLE 215ML
101352,MOSTARDA MAILLE A MODA L ANCIENNE 210G
101353,ACETO BALSAMICO LA PASTINA 250ML
101354,ACETO BALSAMICO DI MODE LA PASTINA 500ML
101361,PEPINO SELECIONADO KG
101362,ABOBRINHA VERDE SELECIONADA KG
101364,MAXIXE SELECIONADO KG
101366,ABOBRINHA CONSERVA SELECIONADA KG
101369,BERINJELA CONSERVA SELECIONADA KG
101376,CAQUI RAMA FORTE SELECIONADO KG
101380,MAMAO FORMOSA SELECIONADO KG
101394,BATATA YACON SELECIONADA KG
101398,PEPINO CONSERVA SELECINADO KG
101410,BANANA PRATA SELECIONADA KG
101412,BATATA DOCE SELECIONADA KG
101418,PERA WILLIANS SELECIONADA
101420,MACA GALA SELECIONADA KG
101421,MACA FUJI SELECIONADA KG
101423,LARANJA LIMA SELECIONADA KG
101425,LIMAO SELECIONADO KG
101434,PEPINO JAPONES SELECIONADO KG
101436,PINHAO SELECIONADO KG
101437,KIWI SELECIONADO KG
101441,CEBOLA ROXA SELECIONADA KG
101442,MAMAO HAVAI SELECIONADO KG
101445,CEBOLA PARA CONSERVA SELECIONADA KG
101448,PONCA EMBALADA SELECIONADA KG
101471,REFRIG COCA COLA ZERO LATA 350ML
101472,COND ERVA DOCE SEM FUNCH AROMA ERVAS 50G
101473,OVOS CAIPIRA DZ UN
101475,ALCAPARRAS EM SALMOURA RAIOLA 65G
101476,SUCO DE TOMATE RAIOLA 1L
101481,COND PIM CALABRESA FLOC AROMA ERVAS 40G
101482,CHOC SUICO MILKY LINDT 100G
101483,CHOC SUICO MILK HAZELNUT LINDT 100G
101484,VIN LICOR MADE 3 ANOS DOCE JUSTIN 750ML
101490,TOMATE SWEET GRAPE 180G
101499,COUVE MANT. PIC. HORTVERD 250G
101555,COND PIM REI BRAN PO AROMA DAS ERVAS 40G
101556,COND PIM REI PRET GR AROMA DAS ERVAS 50G
101558,GUARDA SOL COM CAPA VERMELHA UN
101564,QJO PRATO TIROLEZ KG
101566,QJO PARMESAO TALENTO MINEIRO KG
101569,CHESTER ASSADO FESTA KG
101584,QJO MUSSARELA TIROLEZ KG
101585,QJO PROVOLONE TIROLEZ KG
101594,LEITE CONDENSADO PARA PRODUCAO UN
101596,ACUCAR SACHET
101672,CREAM CHEESE LIGHT POLENGHI 150G
101677,QUEIJO CHEDDAR CREMOSO POLENGHI 200G
101680,GELEIA D LARANJA CLASS QUEENSBERRY 320G
101681,GELEIA D DAMASCO CLASS QUEENSBERRY 320G
101682,GELEIA D FRAMBOES CLASS QUEENSBERRY 320G
101683,GELEIA D MORANGO CLASS QUEENSBERRY 320G
101684,GELEIA D FRAMBOESA DIET QUEENSBERRY 280G
101685,GELEIA DE MORANGO DIET QUEENSBERRY 280G
101693,PASTA DE CHEDDAR COM CHIMICHURRI KG
101696,ACETO BALSAMICO PAGANINI 500ML
101697,CANELONE QUATRO QUEIJOS GUIDOLIM 500G
101700,PISTACHE TORRADO E SALGADO KG
101702,SALAME HAMBURGUES SADIA KG
101715,AVELA SEM CASCA KG
101720,AMEIXA SECA SEM CAROCO KG
101722,FIGO TURCO KG
101723,POLPA TOMATE CEBOLA C MANJ PAGANINI 690G
101724,POLPA TOMATE TRADICIONAL PAGANINI 690G
101725,ACETO BALSAMICO PAGANINI 250ML
101727,COND ERVAS DOCE SEM ANIS AROMA ERVAS 50G
101728,COND CHIMICHURRI AROMA DAS ERVAS 30G
101730,COND BICAR D SODIO AROMA DAS ERVAS 120G
101731,COND PAP DOCE AROMA DAS ERVAS 50G
101732,COND ACAFRAO DA TER AROMA DAS ERVAS 50G
101733,PAPRICA PICANTE PO AROMA DAS ERVAS 50G
101735,COND CANELA CASCA 30G
101736,COND SALS CEB BAC FL AROMA DAS ERVAS 40G
101737,COND SALSA CEB TOM AROMA DAS ERVAS 40G
101740,COND ERVAS FINAS AROMA DAS ERVAS 20G
101742,QJO HOLANDES VINCENT KG
101761,AIPO SALSAO PROCESSADO KG
101763,SAQUE AZUMA DOURADO KIRIM 740ML
101773,GELEIA DE AMORA QUEENSBERRY 320G
101776,COUSCOUS TIPIAK 500G
101781,GRAMPEADOR DE MESA K968 26 6 ATACADO
101803,CAIXA PAPELAO ORGANICOS HF NT
101804,CARIMBO MADEIRA 60x15mm
101818,CALCA CARREGADOR - N. 54
101819,BERMUDA CARREGADOR - N. 54
101820,JALECO CARREGADOR - N. 5
101821,BOTINA - N. 42
101822,BOTINA - N. 46
101823,CALCA CONFERENTE - N. 40
101824,CAMISA GRAFIL - N. 2
101842,CLIPS N 8 0 C 500 GR
101845,PRANCHETA EUCATEX
101847,TINTA P INCEL ATOMICO
101857,SAPATO FEMININO - N. 35
101859,JAQUETA
101860,BOTA BRANCA P  PROCESSADOS
101863,MASS SPAGHETTI PAGANINI 500G
101864,MASS FUSILLI  PAGANINI 500GR
101865,MASS PENNE RIGATE PAGANINI 500G
101897,PAO QUEIJO COQUETEL FORNO DE MINAS 400G
101898,PAO QUEIJO TRADICIONAL FORNO MINAS 400G
101899,CARTUCHO HP LASER 36A PRETO
101903,PASTA DE CENOURA KG
101904,PASTA DE GORGONZOLA KG
101913,CHOC FRANCES EXCELL 70% COCOA LINDT 100G
101914,VIN POTUG HERDADE COTEIS RESERVA 750ML
101915,VIN TTO PORTUG REG HERDADE DOS COT 750ML
101920,VIN TTO CHIL CARMEN CASILE D DIAB 750ML
101921,ARROZ PARA RISOTO LA PASTINA 1KG UN
101922,MORTADELA OURO DEFUMADA PERDIGAO KG
101923,PEPPERONI CERATTI KG
101924,ETIQUETA TERMICA 60X70
101926,BANDEJA RASA RR003
101930,BANDEJA B3 BRANCA RASA
101931,SACO PAPEL GRANADINE 1Kg
101932,BANDEJA B4 AMARELA FUNDA
101934,BANDEJA B2 BRANCA FUNDA
101936,POTE COM LACRE 250 ML
101937,PRES ROYALE SADIA KG
101940,GNOCCHI BAT COZ GUIDOLIN 500g
101941,MASS COZIDA PARA LASANHA GUIDOLIM 500G
101942,CANELONE D PRESUNTO E MUSS GUIDOLIM 500g
101948,CHOC SUICO MILK LINDOR SINGLE LINDT 100G
101951,CHAMP MOET CHANDON IMP BRUT BRANCO 750ML
101952,CHAMP VEUVE CLICQUOT BRUT BRANCO 750ML
101994,MOLHADOR DEDO EM PASTA
101995,PAPEL CHAMEX A4
102022,LARANJA PERA SELECIONADA KG
102027,SACO PARA LIXO 200LT
102028,SACO PRETO LIXO 40LTS C100
102029,SACO TRANSP LIXO 110LTS C 100
102030,TNTEIRO PL 1
102031,LACRES
102038,ERVAS AROMATICAS PT11 UN
102061,PLACA DE PRECO A7
102068,PAPEL HIGIENICO 4X16
102069,REFIL MOP
102070,CABO PARA REFIL MOP
102073,ANTISEPT
102074,DEGREASER
102075,HD
102076,NEUTRAL
102077,CHLORINE
102081,TOUCA DESCARTAVEL
102083,PRATO DESCARTAVEL 15cm
102084,FLANELA
102085,ESPONJA DUPLA FACE
102086,PANO ALVEJADO
102088,RODO DE ALUMINIO  50cm
102089,AVENTAL PVC CRISTAL  0,30mm
102090,LUVA DE ACO 15cm
102091,LUVA DE MALHA DE ACO PUNHO CURTO G
102093,PEGADOR DE PETISCOS
102098,MOLDURA A3 BRANCA 297X420 mm
102102,AVENTAL EMBORRACHADO
102103,FACA CABO BRANCO 10
102104,JAPONA TERMICA NYLON AZUL G
102105,PRATO DESCARTAVEL 21
102109,COMPOTEIRA POTE ANGRA
102111,VASSOURA CHAPA N 4
102112,VASSOURA DE PELO 40cm
102115,MEXEDOR PARA CAFE
102116,BOTA DE PVC BRANCA
102117,JAPONA TERMICA NYLON AZUL GG
102118,ESCOVA COM  ALCA
102119,ESCOVA DE UNHA
102120,CLORO 5 LT
102122,DISPENSER PAPEL HIGIENICO 400 MT
102123,PAPEL INTERFOLHA 23 X 23
102125,LUVA PLASTICA DESCARTAVEL PCT 100
102126,REDE BRANCA L75 cm X 45 mts P EMBUTIDOS
102127,BANDEJA B1 - CRL 001
102128,BANDEJA B2 AMARELA RASA
102129,BANDEJA B2 PRETA RASA
102130,BANDEJA B4 PRETA RASA
102131,BANDEJA B2 PRETA FUNDA
102135,PET 250G (G742 D)
102136,PET 500GR (G771 D)
102139,LIXEIRA PORTA COPOS
102143,MOLDURA A4 BRANCA 210X297 mm
102144,FILME PEBD STRETCH MB
102145,AVENTAL TERMICO 70 X 50
102147,OCULOS DE SEGURANCA INCOLOR
102148,PAPEL HIGIENICO CAI CAI
102151,TAMPA PARA MILK SHAKE 550ML
102155,VASSOURA DE PELO 60 cm
102156,ESPREMEDOR P MOP 1006 E 1009
102160,ESPONJA DE ACO
102161,PA CATA CATA
102162,BALDE C ESPREMEDOR RUBBERMAID 1009
102163,FACA CABO BRANCO 12
102164,CAPA DE CHUVA PVC CAPUZ AMARELA TAM GG
102166,PAPEL HIGIENICO 300MTS
102167,FACA PARA CORTAR COCO 10
102168,FIBRA LIMPA TUDO 3M
